ρ,f_eff,K_eff,β_star,replicate,f_observed,mean_attention_on_binders,soft_p1_kr_score
1.0,0.32323232323232326,99.0,3.8483348970335034,1,0.3741935483870968,0.3116085283910272,0.22634846967339134
1.0,0.32323232323232326,99.0,3.8483348970335034,2,0.4096774193548387,0.32790185032314006,0.24361820410082474
1.0,0.32323232323232326,99.0,3.8483348970335034,3,0.3758064516129032,0.31981525460419313,0.23023829608128027
1.0,0.32323232323232326,99.0,3.8483348970335034,4,0.3935483870967742,0.31906569430808,0.23482169664138558
1.0,0.32323232323232326,99.0,3.8483348970335034,5,0.36935483870967745,0.3255601040428658,0.23630032957293354
1.5,0.41739130434782606,95.14388489208633,3.8483348970335034,1,0.38064516129032255,0.40115012955981577,0.23397279257670606
1.5,0.41739130434782606,95.14388489208633,3.8483348970335034,2,0.4290322580645161,0.42905465330828096,0.2574671621532686
1.5,0.41739130434782606,95.14388489208633,3.8483348970335034,3,0.3951612903225806,0.4130730072917042,0.23444135957626586
1.5,0.41739130434782606,95.14388489208633,3.8483348970335034,4,0.4096774193548387,0.4112332697186864,0.23888183977690597
1.5,0.41739130434782606,95.14388489208633,3.8483348970335034,5,0.39838709677419354,0.4226030092145687,0.24629353746640134
2.0,0.48854961832061067,88.0051282051282,4.57890931841707,1,0.40483870967741936,0.46651066926131557,0.23308473900137128
2.0,0.48854961832061067,88.0051282051282,4.57890931841707,2,0.44193548387096776,0.5042828959292283,0.2561508673395385
2.0,0.48854961832061067,88.0051282051282,4.57890931841707,3,0.4096774193548387,0.48373979185024973,0.23431870359126528
2.0,0.48854961832061067,88.0051282051282,4.57890931841707,4,0.4290322580645161,0.482960185926688,0.23841028506107192
2.0,0.48854961832061067,88.0051282051282,4.57890931841707,5,0.41774193548387095,0.4948582144415198,0.24562627174118964
3.0,0.588957055214724,74.84225352112676,4.57890931841707,1,0.43548387096774194,0.5755019282735548,0.24785210767917537
3.0,0.588957055214724,74.84225352112676,4.57890931841707,2,0.4306451612903226,0.5999668391879538,0.255226667902659
3.0,0.588957055214724,74.84225352112676,4.57890931841707,3,0.4258064516129032,0.5804389035137015,0.2406978271024531
3.0,0.588957055214724,74.84225352112676,4.57890931841707,4,0.45483870967741935,0.5851571223428765,0.24949143364034876
3.0,0.588957055214724,74.84225352112676,4.57890931841707,5,0.43548387096774194,0.5963445485032507,0.2542234671178684
5.0,0.7048458149779736,59.43367935409458,4.57890931841707,1,0.4612903225806452,0.7015768624951235,0.264323030496512
5.0,0.7048458149779736,59.43367935409458,4.57890931841707,2,0.47580645161290325,0.7230687524974019,0.27039274156398785
5.0,0.7048458149779736,59.43367935409458,4.57890931841707,3,0.44193548387096776,0.6985255499113233,0.2515808484252595
5.0,0.7048458149779736,59.43367935409458,4.57890931841707,4,0.47258064516129034,0.6945191205503386,0.25338285146192074
5.0,0.7048458149779736,59.43367935409458,4.57890931841707,5,0.4612903225806452,0.7108740225381446,0.25969124270930005
7.0,0.7697594501718213,51.79266055045871,5.448177226584068,1,0.49193548387096775,0.7704418011098528,0.2684351820619888
7.0,0.7697594501718213,51.79266055045871,5.448177226584068,2,0.49193548387096775,0.7805472362964306,0.26652977977566017
7.0,0.7697594501718213,51.79266055045871,5.448177226584068,3,0.45,0.7549192238947353,0.24127875660547152
7.0,0.7697594501718213,51.79266055045871,5.448177226584068,4,0.49032258064516127,0.7688644420895251,0.25592926600319066
7.0,0.7697594501718213,51.79266055045871,5.448177226584068,5,0.482258064516129,0.764869350848976,0.2515796648213236
10.0,0.8268733850129198,45.84297520661157,5.448177226584068,1,0.48870967741935484,0.8217895966828683,0.26218912532585675
10.0,0.8268733850129198,45.84297520661157,5.448177226584068,2,0.5145161290322581,0.8283084617029877,0.26774009589257586
10.0,0.8268733850129198,45.84297520661157,5.448177226584068,3,0.4790322580645161,0.823222806078325,0.24969261749998267
10.0,0.8268733850129198,45.84297520661157,5.448177226584068,4,0.5,0.8342983726797601,0.26677621449862354
10.0,0.8268733850129198,45.84297520661157,5.448177226584068,5,0.5064516129032258,0.8326498055093843,0.2622834550818731
15.0,0.8775137111517367,41.17366175863493,5.448177226584068,1,0.5,0.8725119680124279,0.2676054824485778
15.0,0.8775137111517367,41.17366175863493,5.448177226584068,2,0.5241935483870968,0.8720698561284069,0.2759809545106777
15.0,0.8775137111517367,41.17366175863493,5.448177226584068,3,0.49838709677419357,0.8664502098691399,0.25415253548868355
15.0,0.8775137111517367,41.17366175863493,5.448177226584068,4,0.5193548387096775,0.8838988230445088,0.2717255995285832
15.0,0.8775137111517367,41.17366175863493,5.448177226584068,5,0.49838709677419357,0.8746789771093776,0.2618431009428427
20.0,0.9052333804809052,38.8473614673195,5.448177226584068,1,0.4967741935483871,0.8971064879555918,0.26862404887373026
20.0,0.9052333804809052,38.8473614673195,5.448177226584068,2,0.5338709677419354,0.90494484915738,0.27698454190339455
20.0,0.9052333804809052,38.8473614673195,5.448177226584068,3,0.5290322580645161,0.8970521392078515,0.2663525292018215
20.0,0.9052333804809052,38.8473614673195,5.448177226584068,4,0.5112903225806451,0.91243496171874,0.2767356432314941
20.0,0.9052333804809052,38.8473614673195,5.448177226584068,5,0.4935483870967742,0.899502080660382,0.2631485781664421
30.0,0.934761441090555,36.53753420861191,6.482468428208699,1,0.55,0.9196425581846529,0.27257904213909173
30.0,0.934761441090555,36.53753420861191,6.482468428208699,2,0.5177419354838709,0.933429428101961,0.27116890016005357
30.0,0.934761441090555,36.53753420861191,6.482468428208699,3,0.5709677419354838,0.9341239910289744,0.2786173411836508
30.0,0.934761441090555,36.53753420861191,6.482468428208699,4,0.5758064516129032,0.946939657787786,0.28221904306863826
30.0,0.934761441090555,36.53753420861191,6.482468428208699,5,0.5145161290322581,0.9239273012582514,0.2673341197184372
50.0,0.9598080383923215,34.707045349519774,6.482468428208699,1,0.5709677419354838,0.9563484822097632,0.2763144328410993
50.0,0.9598080383923215,34.707045349519774,6.482468428208699,2,0.5854838709677419,0.9646657411664483,0.27799877882913265
50.0,0.9598080383923215,34.707045349519774,6.482468428208699,3,0.5661290322580645,0.9609566816503992,0.2808456725298978
50.0,0.9598080383923215,34.707045349519774,6.482468428208699,4,0.5161290322580645,0.9620368680162504,0.2691128521721118
50.0,0.9598080383923215,34.707045349519774,6.482468428208699,5,0.5241935483870968,0.9601499476499776,0.26578225455579224
75.0,0.9728415079043372,33.79902480743279,6.482468428208699,1,0.5564516129032258,0.9729528703974847,0.27556259182549875
75.0,0.9728415079043372,33.79902480743279,6.482468428208699,2,0.5758064516129032,0.9700882686287826,0.2739769493647941
75.0,0.9728415079043372,33.79902480743279,6.482468428208699,3,0.6112903225806452,0.97695493166916,0.2919223852874808
75.0,0.9728415079043372,33.79902480743279,6.482468428208699,4,0.5532258064516129,0.9760950831360784,0.2770043125578871
75.0,0.9728415079043372,33.79902480743279,6.482468428208699,5,0.6048387096774194,0.973248260419369,0.28710462264213404
100.0,0.9794918885827977,33.347046087225486,7.713111225104184,1,0.5806451612903226,0.983922560303388,0.28266871982816494
100.0,0.9794918885827977,33.347046087225486,7.713111225104184,2,0.5790322580645161,0.9815410718108586,0.2695128341422531
100.0,0.9794918885827977,33.347046087225486,7.713111225104184,3,0.5838709677419355,0.98178961116457,0.273675490881672
100.0,0.9794918885827977,33.347046087225486,7.713111225104184,4,0.5580645161290323,0.980424170617945,0.27075168214807627
100.0,0.9794918885827977,33.347046087225486,7.713111225104184,5,0.5854838709677419,0.9754457470738197,0.2689966889408412
150.0,0.9862338196013971,32.89650685283453,7.713111225104184,1,0.5951612903225807,0.9887580653988873,0.27352759583306085
150.0,0.9862338196013971,32.89650685283453,7.713111225104184,2,0.6016129032258064,0.9864770083018034,0.277645621615994
150.0,0.9862338196013971,32.89650685283453,7.713111225104184,3,0.5370967741935484,0.9876956930329017,0.26591728328961234
150.0,0.9862338196013971,32.89650685283453,7.713111225104184,4,0.5548387096774193,0.9864836118568849,0.2634627023714364
150.0,0.9862338196013971,32.89650685283453,7.713111225104184,5,0.5870967741935483,0.9872519413802278,0.2760256943318661
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,1,0.5806451612903226,0.9909833235158313,0.27035766721839144
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,2,0.5870967741935483,0.990826073975703,0.2745218296412926
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,3,0.5629032258064516,0.9905881886482258,0.27178738943150754
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,4,0.5870967741935483,0.9875937049767979,0.2700750359390675
200.0,0.9896397092933354,32.67179686688275,7.713111225104184,5,0.6129032258064516,0.9912999971152882,0.28321085946782976
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,1,0.6016129032258064,0.9946873587902494,0.2658693703625562
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,2,0.6338709677419355,0.9969631695603594,0.2780933029226123
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,3,0.5854838709677419,0.9970704234369228,0.2632997988379809
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,4,0.617741935483871,0.9922615156486074,0.27160493752258597
500.0,0.9958299620339827,32.268290878063894,9.17738133701449,5,0.603225806451613,0.9942573403905354,0.2671606910766197
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,1,0.6112903225806452,0.9984813914628384,0.26582846472889227
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,2,0.5725806451612904,0.9987080635423079,0.2704601663043917
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,3,0.5967741935483871,0.9979258611930067,0.27393120176032765
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,4,0.5854838709677419,0.998379454784093,0.2679574368389792
1000.0,0.9979106246296816,32.134073000534656,9.17738133701449,5,0.5903225806451613,0.9980409024942904,0.26247410922210446
