binder_frac_target,replicate,binder_frac_actual,p1_kr_frac,diversity,mean_novelty,mean_valid,kl_aa,loop_entropy
0.1,1,0.1,0.035483870967741936,0.5021383647798742,0.33152769324406595,1.0,0.025550437537198684,1.4528754009401204
0.1,2,0.1,0.041935483870967745,0.4947798742138364,0.3357881923311018,1.0,0.017913344056587756,1.46261981674049
0.1,3,0.1,0.037096774193548385,0.5072955974842768,0.3467133292757152,1.0,0.01909031083003321,1.4128226157856367
0.1,4,0.1,0.04032258064516129,0.4951572327044025,0.3274193548387099,1.0,0.01872480072133605,1.416817260245413
0.1,5,0.1,0.04838709677419355,0.48522012578616347,0.3397139379184422,1.0,0.012698874187444432,1.4408858232530521
0.2,1,0.2,0.15161290322580645,0.4981761006289307,0.3380097382836277,1.0,0.017822001283444206,1.374808877550566
0.2,2,0.2,0.14516129032258066,0.5022012578616353,0.33968350578210604,1.0,0.017017916183476083,1.4617261835474058
0.2,3,0.2,0.16129032258064516,0.4983647798742138,0.33831405964698735,1.0,0.017990756877473507,1.3993057357896224
0.2,4,0.2,0.17903225806451614,0.509874213836478,0.3521302495435181,1.0,0.01693647226815814,1.4835651307197102
0.2,5,0.2,0.1870967741935484,0.5081132075471698,0.3493609251369447,1.0,0.009378813067710792,1.4778144573137715
0.3,1,0.3,0.31129032258064515,0.49918238993710695,0.33338405356056,1.0,0.01550283196295606,1.4192341085352964
0.3,2,0.3,0.3403225806451613,0.5191823899371069,0.34175289105295203,1.0,0.017440220280803644,1.4749634430727592
0.3,3,0.3,0.31451612903225806,0.5027672955974843,0.32961046865489985,1.0,0.020707509720342403,1.4553572868615572
0.3,4,0.3,0.3225806451612903,0.49402515723270457,0.33639683505782125,1.0,0.02192473324091506,1.400075082748905
0.3,5,0.3,0.33548387096774196,0.49767295597484273,0.32924528301886813,1.0,0.016333768854931756,1.4108416773432138
0.4,1,0.4,0.47580645161290325,0.5044654088050313,0.3186548995739503,1.0,0.01925418294696142,1.4370595896801752
0.4,2,0.4,0.4483870967741935,0.49081761006289304,0.3331405964698725,1.0,0.01768098261097034,1.4464390465325072
0.4,3,0.4,0.4854838709677419,0.5092452830188678,0.34196591600730386,1.0,0.011237091751960488,1.4635151378710498
0.4,4,0.4,0.5419354838709678,0.49773584905660373,0.3340231284236156,1.0,0.027222287504642145,1.3415933712153594
0.4,5,0.4,0.5564516129032258,0.4984905660377358,0.33390139987827183,1.0,0.023757076364573592,1.3809806759039764
0.5,1,0.5,0.5790322580645161,0.4911320754716981,0.3181071211199029,1.0,0.013086920068774622,1.3679379507349214
0.5,2,0.5,0.6016129032258064,0.48867924528301887,0.33633597078514943,1.0,0.02116256054081828,1.4469347780476225
0.5,3,0.5,0.6709677419354839,0.5041509433962263,0.33639683505782125,1.0,0.019803149089672494,1.379136031860491
0.5,4,0.5,0.6870967741935484,0.5060377358490566,0.3243457090687768,1.0,0.014783755067974797,1.4047098669000488
0.5,5,0.5,0.6258064516129033,0.5095597484276728,0.33654899573950114,1.0,0.016758965249266542,1.3234691942486683
0.6,1,0.6,0.7612903225806451,0.49616352201257863,0.3293365794278761,1.0,0.016105382673194717,1.331902895660994
0.6,2,0.6,0.8338709677419355,0.49257861635220124,0.3264150943396229,1.0,0.01859058372019803,1.379236014488744
0.6,3,0.6,0.7709677419354839,0.5016352201257861,0.32477175897748045,1.0,0.021100565435285094,1.3774571985974575
0.6,4,0.6,0.8258064516129032,0.5064779874213838,0.3281801582471092,1.0,0.019064621221268705,1.4058942253679891
0.6,5,0.6,0.7435483870967742,0.4837106918238995,0.31509433962264166,1.0,0.026686580076911572,1.3277534980259116
0.7,1,0.7,0.8435483870967742,0.5055345911949685,0.32857577601947685,1.0,0.018253237421243382,1.4347526935962813
0.7,2,0.7,0.9064516129032258,0.49069182389937116,0.3212111990261719,1.0,0.017107556513710667,1.4035141137333302
0.7,3,0.7,0.8919354838709678,0.5021383647798743,0.32550213024954366,1.0,0.017725226591923285,1.3477000798460146
0.7,4,0.7,0.8274193548387097,0.4927672955974842,0.338618381010347,1.0,0.0224369314475975,1.333457709586171
0.7,5,0.7,0.8758064516129033,0.49276729559748433,0.3208155812538044,1.0,0.027002915720265412,1.3762667890543432
0.8,1,0.8,0.9629032258064516,0.48232704402515714,0.31895922093731,1.0,0.03397228446144045,1.3817622967308383
0.8,2,0.8,0.9387096774193548,0.4845911949685535,0.32060255629945245,1.0,0.021340040221251765,1.3680651236480477
0.8,3,0.8,0.9483870967741935,0.48578616352201265,0.3214242239805237,1.0,0.017023277839851046,1.3573312483738518
0.8,4,0.8,0.964516129032258,0.49723270440251566,0.32251978088861866,1.0,0.015330696256914418,1.4918657055644449
0.8,5,0.8,0.9806451612903225,0.4949056603773585,0.3262933657942789,1.0,0.017936286360556164,1.3472128408638042
0.9,1,0.9,0.9935483870967742,0.4981761006289308,0.3203590992087645,1.0,0.01848762498048957,1.3440221591710717
0.9,2,0.9,0.9838709677419355,0.5015723270440251,0.32090687766281223,1.0,0.016002896494707205,1.3664104723288737
0.9,3,0.9,0.9806451612903225,0.489748427672956,0.3170115642118079,1.0,0.020611566626313877,1.324007962413561
0.9,4,0.9,0.9903225806451613,0.4837106918238995,0.3202069385270847,1.0,0.019662713375372575,1.3335639284206342
0.9,5,0.9,0.967741935483871,0.4899999999999999,0.3104382227632383,1.0,0.01272752242660435,1.372152705876716
1.0,1,1.0,1.0,0.48761006289308173,0.31208155812538063,1.0,0.01846785547636422,1.3676449562635045
1.0,2,1.0,1.0,0.49433962264150944,0.3120511259890447,1.0,0.02251849136156417,1.3505881600067617
1.0,3,1.0,1.0,0.48056603773584905,0.3113207547169813,1.0,0.021326101352009356,1.380154398340881
1.0,4,1.0,1.0,0.4947798742138366,0.3217285453438834,1.0,0.021793228212864266,1.3752409472025615
1.0,5,1.0,1.0,0.4964779874213836,0.31780279975654324,1.0,0.022005219799210923,1.3646475907476878
